#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/benzene_2.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.xyz
# RANDOMSEED 558222221
# TEMPERATURE 15.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  1.29069e+01  1.284e+00  1.162e+01  0.000e+00 -6.197e-01  1.904e+00  9.870e+00  1.752e+00  4.658e-09  4.740e-10
     25  8.42585e+00  1.283e+00  7.143e+00  0.000e+00 -6.247e-01  1.908e+00  5.430e+00  1.143e+00  5.179e-01  5.171e-02
     50  6.11557e+00  1.296e+00  4.820e+00  0.000e+00 -6.254e-01  1.921e+00  3.490e+00  1.035e+00  2.741e-01  2.021e-02
     75  5.17124e+00  1.304e+00  3.867e+00  0.000e+00 -6.268e-01  1.931e+00  2.352e+00  1.041e+00  4.313e-01  4.247e-02
    100  4.60720e+00  1.303e+00  3.304e+00  0.000e+00 -6.278e-01  1.931e+00  1.815e+00  1.225e+00  2.429e-01  2.191e-02
    125  3.57048e+00  1.303e+00  2.268e+00  0.000e+00 -6.283e-01  1.931e+00  1.355e+00  6.311e-01  2.582e-01  2.335e-02
    150  3.38700e+00  1.303e+00  2.084e+00  0.000e+00 -6.298e-01  1.932e+00  1.308e+00  5.137e-01  2.394e-01  2.351e-02
    175  3.10430e+00  1.304e+00  1.800e+00  0.000e+00 -6.297e-01  1.934e+00  8.779e-01  6.830e-01  2.191e-01  2.031e-02
    200  2.75627e+00  1.307e+00  1.450e+00  0.000e+00 -6.303e-01  1.937e+00  7.104e-01  5.775e-01  1.498e-01  1.196e-02
    225  2.70966e+00  1.306e+00  1.403e+00  0.000e+00 -6.314e-01  1.938e+00  6.728e-01  6.064e-01  1.152e-01  8.893e-03
    250  2.55942e+00  1.308e+00  1.251e+00  0.000e+00 -6.306e-01  1.939e+00  6.616e-01  4.884e-01  9.498e-02  6.507e-03
    275  2.61292e+00  1.309e+00  1.304e+00  0.000e+00 -6.305e-01  1.939e+00  7.332e-01  4.264e-01  1.316e-01  1.293e-02
    300  2.54567e+00  1.305e+00  1.240e+00  0.000e+00 -6.310e-01  1.936e+00  7.231e-01  3.864e-01  1.199e-01  1.087e-02
    325  2.38267e+00  1.311e+00  1.072e+00  0.000e+00 -6.308e-01  1.941e+00  5.741e-01  3.165e-01  1.663e-01  1.501e-02
    350  2.26984e+00  1.311e+00  9.588e-01  0.000e+00 -6.318e-01  1.943e+00  5.821e-01  2.095e-01  1.526e-01  1.456e-02
    375  2.14440e+00  1.310e+00  8.341e-01  0.000e+00 -6.319e-01  1.942e+00  3.994e-01  2.995e-01  1.243e-01  1.091e-02
    400  2.30433e+00  1.302e+00  1.002e+00  0.000e+00 -6.329e-01  1.935e+00  6.083e-01  2.782e-01  1.065e-01  9.006e-03
    425  2.07141e+00  1.307e+00  7.647e-01  0.000e+00 -6.333e-01  1.940e+00  4.627e-01  1.449e-01  1.443e-01  1.285e-02
    450  1.88951e+00  1.310e+00  5.793e-01  0.000e+00 -6.342e-01  1.944e+00  3.475e-01  1.278e-01  9.713e-02  6.786e-03
    475  1.88195e+00  1.310e+00  5.716e-01  0.000e+00 -6.357e-01  1.946e+00  1.772e-01  2.760e-01  1.110e-01  7.474e-03
    500  1.97677e+00  1.307e+00  6.702e-01  0.000e+00 -6.360e-01  1.943e+00  2.942e-01  2.314e-01  1.366e-01  8.040e-03
