# energy [kcal/mol] of he2
#  conf     e_total  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0 -1.80006e-03 -1.800e-03  0.000e+00  0.000e+00 -1.800e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    100 -5.42671e-03 -5.427e-03  0.000e+00  0.000e+00 -5.427e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    200 -2.42625e-03 -2.426e-03  0.000e+00  0.000e+00 -2.426e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    300 -8.54984e-06 -8.550e-06  0.000e+00  0.000e+00 -8.550e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    400 -1.72036e-05 -1.720e-05  0.000e+00  0.000e+00 -1.720e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    500 -3.64066e-07 -3.641e-07  0.000e+00  0.000e+00 -3.641e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    600 -1.85874e-08 -1.859e-08  0.000e+00  0.000e+00 -1.859e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    700 -1.41091e-08 -1.411e-08  0.000e+00  0.000e+00 -1.411e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    800  1.06976e-01 -5.303e-09  0.000e+00  1.070e-01 -5.303e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    900 -6.02251e-07 -6.023e-07  0.000e+00  0.000e+00 -6.023e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1000 -2.33740e-09 -2.337e-09  0.000e+00  0.000e+00 -2.337e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1100 -4.41648e-06 -4.416e-06  0.000e+00  0.000e+00 -4.416e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1200 -8.53352e-09 -8.534e-09  0.000e+00  0.000e+00 -8.534e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1300 -1.36378e-07 -1.364e-07  0.000e+00  0.000e+00 -1.364e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1400 -1.05294e-08 -1.053e-08  0.000e+00  0.000e+00 -1.053e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1500 -1.61741e-07 -1.617e-07  0.000e+00  0.000e+00 -1.617e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1600 -3.04277e-07 -3.043e-07  0.000e+00  0.000e+00 -3.043e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1700 -7.73352e-06 -7.734e-06  0.000e+00  0.000e+00 -7.734e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1800 -1.44595e-08 -1.446e-08  0.000e+00  0.000e+00 -1.446e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   1900 -1.79362e-08 -1.794e-08  0.000e+00  0.000e+00 -1.794e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2000 -2.60456e-09 -2.605e-09  0.000e+00  0.000e+00 -2.605e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2100 -3.14149e-09 -3.141e-09  0.000e+00  0.000e+00 -3.141e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2200 -1.56869e-09 -1.569e-09  0.000e+00  0.000e+00 -1.569e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2300 -1.33152e-06 -1.332e-06  0.000e+00  0.000e+00 -1.332e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2400 -4.23994e-06 -4.240e-06  0.000e+00  0.000e+00 -4.240e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2500 -4.82202e-08 -4.822e-08  0.000e+00  0.000e+00 -4.822e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2600 -9.06919e-08 -9.069e-08  0.000e+00  0.000e+00 -9.069e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2700 -3.55428e-09 -3.554e-09  0.000e+00  0.000e+00 -3.554e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2800 -2.37387e-07 -2.374e-07  0.000e+00  0.000e+00 -2.374e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   2900 -5.92771e-09 -5.928e-09  0.000e+00  0.000e+00 -5.928e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
