#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/he20.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/prm/he20.prm
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/he20.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/he20.xyz
# RANDOMSEED 747663306
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  4.78380e-01  4.784e-01  0.000e+00  0.000e+00  4.784e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     25 -8.59887e-01 -8.599e-01  0.000e+00  0.000e+00 -8.599e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     50 -9.99837e-01 -9.998e-01  0.000e+00  0.000e+00 -9.998e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     75 -3.87206e-01 -3.872e-01  0.000e+00  0.000e+00 -3.872e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    100 -7.41470e-01 -7.415e-01  0.000e+00  0.000e+00 -7.415e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    125  3.60930e-01  3.609e-01  0.000e+00  0.000e+00  3.609e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    150 -7.50366e-01 -7.504e-01  0.000e+00  0.000e+00 -7.504e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    175 -7.97925e-01 -7.979e-01  0.000e+00  0.000e+00 -7.979e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    200 -6.73964e-01 -6.740e-01  0.000e+00  0.000e+00 -6.740e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    225 -2.55430e-01 -2.554e-01  0.000e+00  0.000e+00 -2.554e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    250 -4.96869e-01 -4.969e-01  0.000e+00  0.000e+00 -4.969e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    275 -4.77420e-01 -4.774e-01  0.000e+00  0.000e+00 -4.774e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    300  3.81386e-01  3.814e-01  0.000e+00  0.000e+00  3.814e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    325 -1.23638e-01 -1.236e-01  0.000e+00  0.000e+00 -1.236e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    350 -2.51559e-01 -2.516e-01  0.000e+00  0.000e+00 -2.516e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    375 -1.68839e-01 -1.688e-01  0.000e+00  0.000e+00 -1.688e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    400 -7.00637e-01 -7.006e-01  0.000e+00  0.000e+00 -7.006e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
