#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/lif.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/prm/lif.prm
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/lif.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/lif.xyz
# RANDOMSEED 1589347151
# TEMPERATURE 0.000000 K
# BOUNDARY 22.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE cube
# STATUSTIME 1.000000 s
# ENERGYCONF 2
# GEOMCONF 1
# TOTALCONF 1000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0 -8.30247e+01 -8.302e+01  0.000e+00  0.000e+00 -8.778e-03 -8.302e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
      2 -9.05202e+01 -9.052e+01  0.000e+00  0.000e+00 -1.398e-02 -9.051e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
      4 -9.65104e+01 -9.651e+01  0.000e+00  0.000e+00 -1.923e-02 -9.649e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
      6 -9.81709e+01 -9.817e+01  0.000e+00  0.000e+00 -2.082e-02 -9.815e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
      8 -1.09467e+02 -1.095e+02  0.000e+00  0.000e+00 -3.118e-02 -1.094e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     10 -1.15515e+02 -1.155e+02  0.000e+00  0.000e+00 -3.339e-02 -1.155e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     12 -1.24351e+02 -1.244e+02  0.000e+00  0.000e+00 -2.158e-02 -1.243e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     14 -1.38122e+02 -1.381e+02  0.000e+00  0.000e+00  1.018e-01 -1.382e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     16 -1.51099e+02 -1.511e+02  0.000e+00  0.000e+00  5.722e-01 -1.517e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     18 -1.65443e+02 -1.654e+02  0.000e+00  0.000e+00  2.487e+00 -1.679e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     20 -1.77084e+02 -1.771e+02  0.000e+00  0.000e+00  1.076e+01 -1.878e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     22 -1.77843e+02 -1.778e+02  0.000e+00  0.000e+00  1.575e+01 -1.936e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
