#
# INPUTFILE /home/tmpchem/coding/compchem/input/md/benzene_2.md
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/md/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/md/benzene_2.xyz
# RANDOMSEED 278049999
# TEMPERATURE 298.150000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYTIME 0.001500 ps
# GEOMTIME 0.005000 ps
# TOTALTIME 1.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 ps
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0000  3.42363e+01  2.133e+01  1.291e+01  1.284e+00  1.162e+01  0.000e+00 -6.197e-01  1.904e+00  9.870e+00  1.752e+00  4.658e-09  4.740e-10
 0.0015  3.42359e+01  2.141e+01  1.282e+01  1.303e+00  1.152e+01  0.000e+00 -6.261e-01  1.929e+00  8.657e+00  2.437e+00  3.968e-01  2.883e-02
 0.0030  3.42371e+01  1.877e+01  1.547e+01  1.329e+00  1.414e+01  0.000e+00 -6.341e-01  1.963e+00  8.921e+00  3.715e+00  1.404e+00  1.015e-01
 0.0045  3.42374e+01  1.668e+01  1.756e+01  1.344e+00  1.622e+01  0.000e+00 -6.400e-01  1.984e+00  8.155e+00  5.094e+00  2.767e+00  1.995e-01
 0.0060  3.42367e+01  1.609e+01  1.815e+01  1.337e+00  1.681e+01  0.000e+00 -6.416e-01  1.979e+00  6.389e+00  6.034e+00  4.094e+00  2.959e-01
 0.0075  3.42371e+01  1.522e+01  1.901e+01  1.310e+00  1.770e+01  0.000e+00 -6.399e-01  1.950e+00  6.121e+00  6.214e+00  5.006e+00  3.637e-01
 0.0090  3.42377e+01  1.521e+01  1.902e+01  1.282e+00  1.774e+01  0.000e+00 -6.387e-01  1.920e+00  6.370e+00  5.690e+00  5.295e+00  3.874e-01
 0.0105  3.42367e+01  1.767e+01  1.656e+01  1.269e+00  1.529e+01  0.000e+00 -6.417e-01  1.910e+00  5.191e+00  4.760e+00  4.976e+00  3.664e-01
 0.0120  3.42360e+01  1.979e+01  1.445e+01  1.278e+00  1.317e+01  0.000e+00 -6.500e-01  1.928e+00  4.959e+00  3.675e+00  4.224e+00  3.123e-01
 0.0135  3.42369e+01  1.924e+01  1.500e+01  1.301e+00  1.370e+01  0.000e+00 -6.608e-01  1.961e+00  7.548e+00  2.602e+00  3.306e+00  2.442e-01
