#
# INPUTFILE /home/tmpchem/coding/compchem/input/md/he20.md
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/prm/he20.prm
# ENERGYOUT /home/tmpchem/coding/compchem/data/md/he20.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/md/he20.xyz
# RANDOMSEED 3822454941
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.050000 ps
# GEOMTIME 0.100000 ps
# TOTALTIME 20.000000 ps
# TIMESTEP 0.001000 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 ps
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0000  1.82529e+01  1.777e+01  4.784e-01  4.784e-01  0.000e+00  0.000e+00  4.784e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0500  1.82529e+01  1.834e+01 -8.603e-02 -8.603e-02  0.000e+00  0.000e+00 -8.603e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.1000  1.82525e+01  1.860e+01 -3.496e-01 -3.496e-01  0.000e+00  0.000e+00 -3.496e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.1500  1.82524e+01  1.904e+01 -7.872e-01 -7.872e-01  0.000e+00  0.000e+00 -7.872e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.2000  1.82527e+01  1.798e+01  2.720e-01  2.720e-01  0.000e+00  0.000e+00  2.720e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.2500  1.82522e+01  1.881e+01 -5.560e-01 -5.560e-01  0.000e+00  0.000e+00 -5.560e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.3000  1.82524e+01  1.880e+01 -5.458e-01 -5.458e-01  0.000e+00  0.000e+00 -5.458e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.3500  1.82524e+01  1.863e+01 -3.736e-01 -3.736e-01  0.000e+00  0.000e+00 -3.736e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.4000  1.82524e+01  1.862e+01 -3.668e-01 -3.668e-01  0.000e+00  0.000e+00 -3.668e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.4500  1.82524e+01  1.864e+01 -3.835e-01 -3.835e-01  0.000e+00  0.000e+00 -3.835e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.5000  1.82524e+01  1.865e+01 -4.006e-01 -4.006e-01  0.000e+00  0.000e+00 -4.006e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.5500  1.82524e+01  1.852e+01 -2.681e-01 -2.681e-01  0.000e+00  0.000e+00 -2.681e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.6000  1.82524e+01  1.854e+01 -2.909e-01 -2.909e-01  0.000e+00  0.000e+00 -2.909e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.6500  1.82524e+01  1.850e+01 -2.475e-01 -2.475e-01  0.000e+00  0.000e+00 -2.475e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.7000  1.82524e+01  1.839e+01 -1.387e-01 -1.387e-01  0.000e+00  0.000e+00 -1.387e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.7500  1.82524e+01  1.833e+01 -8.103e-02 -8.103e-02  0.000e+00  0.000e+00 -8.103e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.8000  1.82524e+01  1.830e+01 -5.006e-02 -5.006e-02  0.000e+00  0.000e+00 -5.006e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.8500  1.82524e+01  1.828e+01 -3.232e-02 -3.232e-02  0.000e+00  0.000e+00 -3.232e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.9000  1.82524e+01  1.827e+01 -2.158e-02 -2.158e-02  0.000e+00  0.000e+00 -2.158e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.9500  1.82524e+01  1.827e+01 -1.481e-02 -1.481e-02  0.000e+00  0.000e+00 -1.481e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.0000  1.82524e+01  1.826e+01 -1.040e-02 -1.040e-02  0.000e+00  0.000e+00 -1.040e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.0500  1.82524e+01  1.826e+01 -7.451e-03 -7.451e-03  0.000e+00  0.000e+00 -7.451e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.1000  1.82524e+01  1.826e+01 -5.444e-03 -5.444e-03  0.000e+00  0.000e+00 -5.444e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.1500  1.82524e+01  1.826e+01 -4.051e-03 -4.051e-03  0.000e+00  0.000e+00 -4.051e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.2000  1.82524e+01  1.826e+01 -3.068e-03 -3.068e-03  0.000e+00  0.000e+00 -3.068e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.2500  1.82524e+01  1.825e+01 -2.363e-03 -2.363e-03  0.000e+00  0.000e+00 -2.363e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.3000  1.82524e+01  1.825e+01 -1.849e-03 -1.849e-03  0.000e+00  0.000e+00 -1.849e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.3500  1.82524e+01  1.825e+01 -1.469e-03 -1.469e-03  0.000e+00  0.000e+00 -1.469e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.4000  1.82524e+01  1.825e+01 -1.183e-03 -1.183e-03  0.000e+00  0.000e+00 -1.183e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.4500  1.82524e+01  1.825e+01 -9.652e-04 -9.652e-04  0.000e+00  0.000e+00 -9.652e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.5000  1.82524e+01  1.825e+01 -7.966e-04 -7.966e-04  0.000e+00  0.000e+00 -7.966e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.5500  1.82524e+01  1.825e+01 -6.644e-04 -6.644e-04  0.000e+00  0.000e+00 -6.644e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.6000  1.82524e+01  1.825e+01 -5.595e-04 -5.595e-04  0.000e+00  0.000e+00 -5.595e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 1.6500  1.82524e+01  1.825e+01 -4.753e-04 -4.753e-04  0.000e+00  0.000e+00 -4.753e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
