#
# INPUTFILE /home/tmpchem/coding/compchem/input/md/lif.md
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/prm/lif.prm
# ENERGYOUT /home/tmpchem/coding/compchem/data/md/lif.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/md/lif.xyz
# RANDOMSEED 2571494957
# TEMPERATURE 0.000000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 4.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.003000 ps
# TOTALTIME 4.000000 ps
# TIMESTEP 0.001000 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 ps
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0000 -8.30247e+01  5.962e-23 -8.302e+01 -8.302e+01  0.000e+00  0.000e+00 -8.778e-03 -8.302e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0050 -8.30246e+01  6.456e-01 -8.367e+01 -8.367e+01  0.000e+00  0.000e+00 -9.162e-03 -8.366e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0100 -8.30242e+01  2.225e+00 -8.525e+01 -8.525e+01  0.000e+00  0.000e+00 -1.015e-02 -8.524e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0150 -8.30235e+01  4.904e+00 -8.793e+01 -8.793e+01  0.000e+00  0.000e+00 -1.200e-02 -8.792e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0200 -8.30222e+01  8.967e+00 -9.199e+01 -9.199e+01  0.000e+00  0.000e+00 -1.519e-02 -9.197e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0250 -8.30198e+01  1.492e+01 -9.794e+01 -9.794e+01  0.000e+00  0.000e+00 -2.060e-02 -9.792e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0300 -8.30150e+01  2.372e+01 -1.067e+02 -1.067e+02  0.000e+00  0.000e+00 -2.902e-02 -1.067e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0350 -8.30040e+01  3.727e+01 -1.203e+02 -1.203e+02  0.000e+00  0.000e+00 -3.030e-02 -1.202e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0400 -8.29795e+01  5.990e+01 -1.429e+02 -1.429e+02  0.000e+00  0.000e+00  2.114e-01 -1.431e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0450 -8.36685e+01  9.368e+01 -1.773e+02 -1.773e+02  0.000e+00  0.000e+00  1.155e+01 -1.889e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0500 -8.67495e+01  6.443e+01 -1.512e+02 -1.512e+02  0.000e+00  0.000e+00  6.616e+01 -2.173e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0550 -8.30316e+01  7.238e+01 -1.554e+02 -1.554e+02  0.000e+00  0.000e+00  9.055e-01 -1.563e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0600 -8.30450e+01  4.433e+01 -1.274e+02 -1.274e+02  0.000e+00  0.000e+00 -9.636e-03 -1.274e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0650 -8.30604e+01  2.808e+01 -1.111e+02 -1.111e+02  0.000e+00  0.000e+00 -3.224e-02 -1.111e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0700 -8.30669e+01  1.780e+01 -1.009e+02 -1.009e+02  0.000e+00  0.000e+00 -2.346e-02 -1.008e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0750 -8.30700e+01  1.093e+01 -9.400e+01 -9.400e+01  0.000e+00  0.000e+00 -1.693e-02 -9.398e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 0.0800 -8.30716e+01  6.231e+00 -8.930e+01 -8.930e+01  0.000e+00  0.000e+00 -1.302e-02 -8.929e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00
