
 -------- Energy Values --------
   component         [kcal/mol]
 -------------------------------
   Total         |    12.9069
   Kinetic       |     0.0000
   Potential     |    12.9069
   Non-bonded    |     1.2845
   Bonded        |    11.6224
   Boundary      |     0.0000
   van der Waals |    -0.6197
   Electrostatic |     1.9042
   Bonds         |     9.8700
   Angles        |     1.7524
   Torsions      |     0.0000
   Out-of-planes |     0.0000

 -------- Molecular Geometry and Non-bonded Parameters ---------
      type     x         y         z       q      ro/2    eps
 ---------------------------------------------------------------
   1 | CA   -3.4586    1.0268    0.0000 -0.0800  1.9080  0.0860
   2 | CA   -2.2197    1.7379    0.0000 -0.0800  1.9080  0.0860
   3 | CA   -0.9980    1.0099    0.0000 -0.0800  1.9080  0.0860
   4 | CA   -1.0534   -0.3728    0.0000 -0.0800  1.9080  0.0860
   5 | CA   -2.2765   -1.0669    0.0000 -0.0800  1.9080  0.0860
   6 | CA   -3.5128   -0.3808    0.0000 -0.0800  1.9080  0.0860
   7 | HA   -4.4844   -0.9201    0.0000  0.0800  1.4590  0.0150
   8 | HA   -4.3950    1.5990    0.0000  0.0800  1.4590  0.0150
   9 | HA   -2.1192    2.8037    0.0000  0.0800  1.4590  0.0150
  10 | HA   -0.0354    1.5660    0.0000  0.0800  1.4590  0.0150
  11 | HA   -0.0763   -0.9314    0.0000  0.0800  1.4590  0.0150
  12 | HA   -2.2807   -2.1689   -0.0000  0.0800  1.4590  0.0150
  13 | CA    0.4950    8.5768   -0.7494 -0.0800  1.9080  0.0860
  14 | CA    0.9899    8.5027   -2.1156 -0.0800  1.9080  0.0860
  15 | CA    0.1656    7.4017    0.0000 -0.0800  1.9080  0.0860
  16 | CA    0.3387    6.1270   -0.6405 -0.0800  1.9080  0.0860
  17 | CA    0.8352    6.0596   -2.0098 -0.0800  1.9080  0.0860
  18 | CA    1.1620    7.2430   -2.7514 -0.0800  1.9080  0.0860
  19 | HA    1.5410    7.1644   -3.8002  0.0800  1.4590  0.0150
  20 | HA    1.2229    9.4604   -2.6291  0.0800  1.4590  0.0150
  21 | HA    0.0988    5.1851   -0.1056  0.0800  1.4590  0.0150
  22 | HA    0.9705    5.0852   -2.5076  0.0800  1.4590  0.0150
  23 | HA    0.3667    9.5675   -0.2688  0.0800  1.4590  0.0150
  24 | HA   -0.2127    7.5011    1.0497  0.0800  1.4590  0.0150

 ------------------ Bond Length Data -------------------
          k_b     r_eq     r_ij   types    energy atoms
 -------------------------------------------------------
   1 |  469.00   1.4000   1.4285 (CA-CA)   0.3815 (1-2)
   2 |  469.00   1.4000   1.4086 (CA-CA)   0.0348 (1-6)
   3 |  367.00   1.0800   1.0974 (CA-HA)   0.1113 (1-8)
   4 |  469.00   1.4000   1.4221 (CA-CA)   0.2291 (2-3)
   5 |  367.00   1.0800   1.0706 (CA-HA)   0.0325 (2-9)
   6 |  469.00   1.4000   1.3838 (CA-CA)   0.1228 (3-4)
   7 |  367.00   1.0800   1.1117 (CA-HA)   0.3680 (3-10)
   8 |  469.00   1.4000   1.4063 (CA-CA)   0.0188 (4-5)
   9 |  367.00   1.0800   1.1255 (CA-HA)   0.7590 (4-11)
  10 |  469.00   1.4000   1.4139 (CA-CA)   0.0906 (5-6)
  11 |  367.00   1.0800   1.1020 (CA-HA)   0.1781 (5-12)
  12 |  367.00   1.0800   1.1113 (CA-HA)   0.3586 (6-7)
  13 |  469.00   1.4000   1.4550 (CA-CA)   1.4169 (13-14)
  14 |  469.00   1.4000   1.4321 (CA-CA)   0.4832 (13-15)
  15 |  367.00   1.0800   1.1086 (CA-HA)   0.3006 (13-23)
  16 |  469.00   1.4000   1.4215 (CA-CA)   0.2170 (14-18)
  17 |  367.00   1.0800   1.1114 (CA-HA)   0.3617 (14-20)
  18 |  469.00   1.4000   1.4370 (CA-CA)   0.6436 (15-16)
  19 |  367.00   1.0800   1.1203 (CA-HA)   0.5948 (15-24)
  20 |  469.00   1.4000   1.4580 (CA-CA)   1.5791 (16-17)
  21 |  367.00   1.0800   1.1095 (CA-HA)   0.3189 (16-21)
  22 |  469.00   1.4000   1.4343 (CA-CA)   0.5531 (17-18)
  23 |  367.00   1.0800   1.1025 (CA-HA)   0.1859 (17-22)
  24 |  367.00   1.0800   1.1180 (CA-HA)   0.5301 (18-19)

 ------------------- Bond Angle Data --------------------
