#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     8.633310558892 -4.274e+00  2.444e+01  8.985e+00  1.864e-02  7.358e-03 
  2     5.973448179847 -2.660e+00  2.190e+01  9.307e+00  1.888e-02  7.605e-03 
  3     2.670257945473 -3.303e+00  2.229e+01  7.903e+00  4.100e-02  1.401e-02 
  4     1.904551064726 -7.657e-01  5.627e+00  2.269e+00  8.907e-03  2.206e-03 
  5     1.859217288227 -4.533e-02  5.007e+00  1.804e+00  2.210e-03  5.481e-04*
  6     1.736340498871 -1.229e-01  8.464e+00  2.289e+00  6.139e-03  1.832e-03 
  7     1.569683111785 -1.667e-01  4.362e+00  1.718e+00  5.141e-03  2.163e-03 
  8     1.469181546876 -1.005e-01  7.176e+00  2.190e+00  6.499e-03  2.681e-03 
  9     1.385592766781 -8.359e-02  2.602e+00  7.570e-01  2.415e-03  1.057e-03 
 10     1.367594391090 -1.800e-02  2.744e+00  7.614e-01  1.751e-03* 6.430e-04*
 11     1.345514453373 -2.208e-02  1.825e+00  6.656e-01  1.575e-03* 8.781e-04*
 12     1.329020297085 -1.649e-02  1.152e+00  4.788e-01  1.773e-03* 8.300e-04*
 13     1.322491191238 -6.529e-03  2.475e+00  6.453e-01  1.444e-03* 7.471e-04*
 14     1.313682168385 -8.809e-03  5.700e-01  1.672e-01  1.178e-03* 4.431e-04*
 15     1.313384628384 -2.975e-04  5.712e-01  2.087e-01  1.932e-04* 8.142e-05*
 16     1.311338619106 -2.046e-03  5.068e-01  1.737e-01  9.547e-04* 3.569e-04*
 17     1.310443753043 -8.949e-04  3.126e-01  1.305e-01  4.547e-04* 1.768e-04*
 18     1.309886425817 -5.573e-04  6.326e-01  1.726e-01  3.924e-04* 2.166e-04*
 19     1.309289953145 -5.965e-04  1.252e-01  4.942e-02  3.097e-04* 1.106e-04*
 20     1.309279926201 -1.003e-05  1.612e-01  5.727e-02  3.400e-05* 1.334e-05*
 21     1.309144906647 -1.350e-04  1.389e-01  5.940e-02  2.019e-04* 8.133e-05*
 22     1.309006291146 -1.386e-04  9.432e-02  4.303e-02  2.665e-04* 8.977e-05*
 23     1.308948198267 -5.809e-05  1.662e-01  4.427e-02  2.061e-04* 7.412e-05*
 24     1.308905066894 -4.313e-05  5.857e-02  2.203e-02  1.123e-04* 3.190e-05*
 25     1.308883627421 -2.144e-05  5.364e-02  2.139e-02  6.470e-05* 2.274e-05*
 26     1.308799841793 -8.379e-05  9.459e-02  3.282e-02  2.903e-04* 1.141e-04*
 27     1.308757634776 -4.221e-05  1.401e-01  3.881e-02  1.298e-04* 4.680e-05*
 28     1.308601861949 -1.558e-04  2.078e-01  6.114e-02  4.643e-04* 1.861e-04*
 29     1.308499797527 -1.021e-04  8.061e-02  2.930e-02  2.036e-04* 7.162e-05*
 30     1.308474258607 -2.554e-05  2.160e-01  5.916e-02  1.296e-04* 5.852e-05*
 31     1.308342009977 -1.322e-04  1.143e-01  4.373e-02  2.197e-04* 1.071e-04*
 32     1.308225479754 -1.165e-04  2.782e-01  9.328e-02  3.730e-04* 2.104e-04*
 33     1.308057841600 -1.676e-04  1.477e-01  4.286e-02  2.528e-04* 8.402e-05*
 34     1.308052738665 -5.103e-06  1.905e-01  5.342e-02  4.389e-05* 1.525e-05*
