#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     0.134936674878 -2.220e-01  6.988e+00  3.970e+00  7.929e-03  3.587e-03 
  2     0.032050732219 -1.029e-01  4.103e+00  2.429e+00  7.544e-03  3.936e-03 
  3     0.012946183043 -1.910e-02  3.540e+00  1.250e+00  3.922e-03  1.794e-03 
  4     0.009606266046 -3.340e-03  1.848e+00  9.749e-01  1.219e-03* 6.488e-04*
  5     0.001435817763 -8.170e-03  1.891e+00  6.601e-01  2.008e-03  1.351e-03 
  6     0.000242059290 -1.194e-03  4.602e-01  1.617e-01  4.120e-04* 3.004e-04*
  7     0.000240295443 -1.764e-06  4.679e-01  1.635e-01  4.634e-06* 3.080e-06*
  8     0.000092708131 -1.476e-04  3.087e-01  1.126e-01  1.691e-04* 1.336e-04*
  9     0.000030314538 -6.239e-05  1.407e-01  6.349e-02  1.834e-04* 1.083e-04*
 10     0.000016850857 -1.346e-05  8.471e-02  4.226e-02  5.622e-05* 3.970e-05*
 11     0.000005191922 -1.166e-05  3.939e-02  3.824e-02  9.095e-05* 4.892e-05*
 12     0.000001049328 -4.143e-06  1.914e-02  1.087e-02  3.118e-05* 1.630e-05*
 13     0.000000377188 -6.721e-07* 2.653e-02  1.014e-02  2.270e-05* 1.021e-05*
 14     0.000000075303 -3.019e-07* 6.025e-03  2.651e-03  8.181e-06* 5.078e-06*
 15     0.000000073732 -1.571e-09* 5.713e-03  2.576e-03  1.141e-07* 7.345e-08*
 16     0.000000045648 -2.808e-08* 4.909e-03  2.016e-03  1.798e-06* 1.553e-06*
 17     0.000000006262 -3.939e-08* 3.108e-03  1.495e-03  4.686e-06* 3.757e-06*
 18     0.000000000486 -5.776e-09* 6.641e-04  3.045e-04  9.208e-07* 6.106e-07*
 19     0.000000000464 -2.200e-11* 6.266e-04  2.955e-04  1.373e-08* 8.951e-09*
 20     0.000000000179 -2.854e-10* 2.490e-04  1.216e-04  2.189e-07* 1.522e-07*
 21     0.000000000137 -4.229e-11* 2.398e-04  1.369e-04  1.008e-07* 7.321e-08*
 22     0.000000000034 -1.030e-10* 1.214e-04* 6.063e-05* 1.720e-07* 1.155e-07*
