#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     0.062800665287 -2.218e-01  2.729e+00  1.333e+00  6.374e-03  2.514e-03 
  2     0.047995973842 -1.480e-02  1.426e+00  7.175e-01  1.590e-03* 7.762e-04*
  3     0.045174957227 -2.821e-03  1.929e+00  9.425e-01  7.135e-04* 4.356e-04*
  4     0.016717147543 -2.846e-02  9.687e-01  6.329e-01  5.606e-03  2.879e-03 
  5     0.008146024590 -8.571e-03  8.777e-01  6.092e-01  4.037e-03  2.170e-03 
  6     0.002523485035 -5.623e-03  9.503e-01  3.769e-01  1.024e-03* 6.875e-04*
  7     0.000852079975 -1.671e-03  2.480e-01  1.172e-01  6.408e-04* 4.754e-04*
  8     0.000835093531 -1.699e-05  1.588e-01  1.011e-01  6.817e-05* 3.968e-05*
  9     0.000761061467 -7.403e-05  1.321e-01  7.978e-02  1.483e-04* 6.843e-05*
 10     0.000576504486 -1.846e-04  2.191e-01  1.021e-01  4.654e-04* 2.231e-04*
 11     0.000493759293 -8.275e-05  6.097e-02  3.072e-02  1.209e-04* 6.740e-05*
 12     0.000441747826 -5.201e-05  7.653e-02  3.910e-02  2.783e-04* 1.352e-04*
 13     0.000419797396 -2.195e-05  6.830e-02  3.364e-02  7.262e-05* 5.478e-05*
 14     0.000384810307 -3.499e-05  4.651e-02  3.478e-02  2.012e-04* 1.317e-04*
 15     0.000373496333 -1.131e-05  2.821e-02  1.981e-02  6.401e-05* 3.222e-05*
 16     0.000371201485 -2.295e-06  8.220e-02  3.080e-02  4.225e-05* 2.150e-05*
 17     0.000356051224 -1.515e-05  5.513e-02  2.149e-02  7.482e-05* 4.736e-05*
 18     0.000347463811 -8.587e-06  1.015e-01  4.127e-02  1.105e-04* 6.390e-05*
 19     0.000329709000 -1.775e-05  3.630e-02  1.641e-02  5.386e-05* 3.779e-05*
 20     0.000324949797 -4.759e-06  6.194e-02  2.923e-02  4.630e-05* 2.948e-05*
 21     0.000307197584 -1.775e-05  3.126e-02  1.874e-02  1.119e-04* 5.860e-05*
 22     0.000296392102 -1.081e-05  7.846e-02  4.239e-02  1.785e-04* 9.116e-05*
 23     0.000277751260 -1.864e-05  3.145e-02  1.669e-02  6.871e-05* 4.273e-05*
 24     0.000268219430 -9.532e-06  8.175e-02  2.982e-02  9.739e-05* 5.321e-05*
 25     0.000258221593 -9.998e-06  2.224e-02  1.246e-02  4.512e-05* 3.283e-05*
 26     0.000257290971 -9.306e-07* 4.806e-02  2.084e-02  2.187e-05* 1.440e-05*
 27     0.000226526505 -3.076e-05  5.391e-02  3.988e-02  3.153e-04* 1.868e-04*
 28     0.000209289459 -1.724e-05  1.790e-02  1.135e-02  8.528e-05* 4.940e-05*
 29     0.000208871324 -4.181e-07* 3.571e-02  1.566e-02  1.214e-05* 6.876e-06*
 30     0.000204861732 -4.010e-06  9.319e-02  3.025e-02  9.046e-05* 4.915e-05*
 31     0.000195367644 -9.494e-06  2.744e-02  1.068e-02  5.242e-05* 3.276e-05*
 32     0.000195018404 -3.492e-07* 3.739e-02  1.493e-02  1.120e-05* 6.884e-06*
 33     0.000185051664 -9.967e-06  4.017e-02  2.759e-02  1.570e-04* 9.648e-05*
