#                       1.000e-08  2.000e-05  1.000e-05  2.000e-04  1.000e-04
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     0.019108264128 -9.088e-01  4.479e+00  2.565e+00  3.039e-02  1.630e-02 
  2     0.004443206171 -1.467e-02  1.088e+00  7.919e-01  1.532e-03  1.118e-03 
  3     0.003496984615 -9.462e-04  1.421e+00  8.246e-01  4.145e-04  3.203e-04 
  4     0.000235094240 -3.262e-03  6.033e-01  3.019e-01  1.609e-03  8.643e-04 
  5     0.000044142349 -1.910e-04  2.319e-01  1.407e-01  4.016e-04  2.232e-04 
  6     0.000043857665 -2.847e-07  2.291e-01  1.397e-01  2.249e-06* 1.301e-06*
  7     0.000005370392 -3.849e-05  4.915e-02  3.010e-02  8.148e-05* 5.407e-05*
  8     0.000004653150 -7.172e-07  4.782e-02  2.568e-02  8.780e-06* 5.538e-06*
  9     0.000003031255 -1.622e-06  3.637e-02  2.610e-02  2.765e-05* 1.485e-05*
 10     0.000000082491 -2.949e-06  6.221e-03  3.672e-03  3.110e-05* 2.458e-05*
 11     0.000000074315 -8.176e-09* 5.927e-03  3.455e-03  3.261e-07* 2.569e-07*
 12     0.000000009646 -6.467e-08  2.092e-03  1.707e-03  4.977e-06* 3.804e-06*
 13     0.000000007798 -1.848e-09* 2.792e-03  1.792e-03  5.874e-07* 5.426e-07*
 14     0.000000000564 -7.235e-09* 5.526e-04  4.260e-04  1.468e-06* 7.876e-07*
 15     0.000000000148 -4.160e-10* 2.477e-04  1.684e-04  2.968e-07* 1.594e-07*
 16     0.000000000135 -1.240e-11* 2.412e-04  1.568e-04  1.620e-08* 8.695e-09*
 17     0.000000000065 -6.986e-11* 1.721e-04  1.071e-04  1.639e-07* 8.767e-08*
 18     0.000000000053 -1.214e-11* 1.512e-04  1.234e-04  7.814e-08* 4.319e-08*
 19     0.000000000001 -5.259e-11* 1.765e-05* 9.389e-06* 1.507e-07* 1.018e-07*
