#                       1.000e-06  2.000e-04  1.000e-04  2.000e-03  1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1   -37.759965695193 -2.164e+00  5.273e+00  3.171e+00  1.083e-02  5.863e-03 
  2   -38.011793490900 -2.518e-01  3.335e+00  1.953e+00  5.088e-03  3.202e-03 
  3   -38.034910756894 -2.312e-02  3.699e+00  2.038e+00  1.929e-03* 1.067e-03 
  4   -38.081717192882 -4.681e-02  1.077e+00  4.424e-01  1.630e-03* 9.261e-04*
  5   -38.083313527286 -1.596e-03  7.366e-01  3.502e-01  3.249e-04* 1.750e-04*
  6   -38.084015280401 -7.018e-04  9.226e-01  4.393e-01  3.719e-04* 1.530e-04*
  7   -38.106671963234 -2.266e-02  1.826e+00  9.103e-01  5.262e-03  2.428e-03 
  8   -38.120905582565 -1.423e-02  1.190e+00  4.760e-01  1.880e-03* 7.405e-04*
  9   -38.123648855539 -2.743e-03  1.485e+00  7.584e-01  1.176e-03* 4.925e-04*
 10   -38.136145820238 -1.250e-02  6.896e-01  3.367e-01  1.826e-03* 8.233e-04*
 11   -38.138567883896 -2.422e-03  1.254e+00  6.029e-01  1.146e-03* 5.648e-04*
 12   -38.148937129718 -1.037e-02  1.086e+00  5.136e-01  2.841e-03  1.107e-03 
 13   -38.165425316018 -1.649e-02  1.862e+00  8.311e-01  6.614e-03  2.552e-03 
 14   -38.177517187906 -1.209e-02  5.113e-01  2.615e-01  1.804e-03* 9.708e-04*
 15   -38.178142857203 -6.257e-04  7.040e-01  3.762e-01  4.796e-04* 2.400e-04*
 16   -38.181559522876 -3.417e-03  9.385e-01  5.358e-01  2.467e-03  9.910e-04*
 17   -38.186766659421 -5.207e-03  5.149e-01  2.317e-01  1.835e-03* 6.509e-04*
 18   -38.187257232201 -4.906e-04  5.581e-01  3.356e-01  6.866e-04* 2.461e-04*
 19   -38.191059452373 -3.802e-03  8.744e-01  3.918e-01  2.091e-03  9.012e-04*
 20   -38.194598258465 -3.539e-03  6.700e-01  2.978e-01  2.168e-03  8.404e-04*
 21   -38.196288727274 -1.690e-03  1.089e+00  4.801e-01  2.449e-03  8.954e-04*
 22   -38.199449733229 -3.161e-03  3.636e-01  1.432e-01  8.905e-04* 4.013e-04*
 23   -38.200122368711 -6.726e-04  5.190e-01  1.973e-01  4.746e-04* 2.060e-04*
 24   -38.201472385473 -1.350e-03  2.373e-01  1.394e-01  6.285e-04* 3.648e-04*
 25   -38.202304943727 -8.326e-04  4.953e-01  2.847e-01  1.039e-03* 5.866e-04*
 26   -38.203770826310 -1.466e-03  3.833e-01  1.881e-01  4.972e-04* 2.786e-04*
 27   -38.205210375202 -1.440e-03  8.609e-01  3.423e-01  1.208e-03* 5.729e-04*
 28   -38.206618009136 -1.408e-03  2.603e-01  9.320e-02  3.196e-04* 2.014e-04*
 29   -38.206777539571 -1.595e-04  2.792e-01  1.268e-01  1.332e-04* 8.002e-05*
 30   -38.209027183600 -2.250e-03  5.488e-01  2.884e-01  2.094e-03  1.078e-03 
 31   -38.210311799213 -1.285e-03  2.608e-01  1.303e-01  5.292e-04* 2.224e-04*
 32   -38.210533608486 -2.218e-04  3.767e-01  2.039e-01  3.381e-04* 1.374e-04*
 33   -38.211599546178 -1.066e-03  1.955e-01  1.014e-01  6.979e-04* 2.958e-04*
 34   -38.211689848296 -9.030e-05  2.716e-01  1.526e-01  2.887e-04* 1.145e-04*
 35   -38.212389466564 -6.996e-04  3.164e-01  1.616e-01  7.688e-04* 3.051e-04*
 36   -38.214634354720 -2.245e-03  7.591e-01  3.347e-01  2.858e-03  1.157e-03 
 37   -38.216282658293 -1.648e-03  1.263e-01  6.688e-02  6.189e-04* 3.068e-04*
 38   -38.216319058928 -3.640e-05  1.420e-01  8.850e-02  7.033e-05* 3.331e-05*
 39   -38.216457849346 -1.388e-04  3.046e-01  1.821e-01  4.166e-04* 1.689e-04*
 40   -38.217299014056 -8.412e-04  2.260e-01  1.045e-01  7.771e-04* 2.853e-04*
 41   -38.217496083509 -1.971e-04  5.099e-01  2.157e-01  6.950e-04* 2.456e-04*
 42   -38.218477819433 -9.817e-04  1.736e-01  9.343e-02  7.895e-04* 3.089e-04*
 43   -38.218655575526 -1.778e-04  3.861e-01  1.814e-01  5.052e-04* 1.929e-04*
 44   -38.219934878932 -1.279e-03  3.918e-01  2.156e-01  1.901e-03* 6.948e-04*
 45   -38.221810968334 -1.876e-03  4.661e-01  2.231e-01  2.939e-03  1.057e-03 
