#                       1.000e-10  2.000e-06  1.000e-06  2.000e-05  1.000e-05
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     0.155296348133 -4.487e+00  2.046e+01  1.181e+01  3.391e-02  1.958e-02 
  2     0.008462664842 -1.468e-01  4.776e+00  2.758e+00  5.818e-03  3.359e-03 
  3     0.000335933183 -8.127e-03  9.516e-01  5.494e-01  1.419e-03  8.192e-04 
  4     0.000020789729 -3.151e-04  2.367e-01  1.367e-01  2.652e-04  1.531e-04 
  5     0.000000153085 -2.064e-05  2.031e-02  1.173e-02  8.028e-05  4.635e-05 
  6     0.000000010653 -1.424e-07  5.359e-03  3.094e-03  5.548e-06* 3.203e-06*
  7     0.000000000115 -1.054e-08  5.578e-04  3.221e-04  1.781e-06* 1.028e-06*
  8     0.000000000009 -1.065e-10  1.554e-04  8.970e-05  1.493e-07* 8.620e-08*
  9     0.000000000000 -8.918e-12* 9.903e-06  5.717e-06  5.396e-08* 3.115e-08*
 10     0.000000000000 -3.586e-14* 1.177e-06* 6.798e-07* 3.237e-09* 1.869e-09*
