
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     |  2.2469e+00  4.5802e-01  1.8342e+00  1.2907e+01
   Non-bonded    |  1.3394e+00  1.1426e-02  1.2840e+00  1.3590e+00
   Bonded        |  9.0747e-01  4.6095e-01  4.9760e-01  1.1620e+01
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           | -6.0711e-01  1.0186e-02 -6.2950e-01 -5.8900e-01
   Elst          |  1.9465e+00  3.8068e-03  1.9040e+00  1.9560e+00
   Bonds         |  3.6593e-01  3.7833e-01  1.2080e-01  9.8700e+00
   Angles        |  2.8075e-01  1.2510e-01  6.9990e-02  1.7520e+00
   Torsions      |  2.6079e-01  8.4762e-02  4.6580e-09  5.8160e-01
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
