
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     |  1.7832e+00  1.0326e+00  1.2490e-01  7.1664e+00
   Non-bonded    |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonded        |  1.7832e+00  1.0326e+00  1.2490e-01  7.1660e+00
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Elst          |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonds         |  9.0347e-01  7.2148e-01  4.2850e-03  4.6840e+00
   Angles        |  6.0949e-01  5.8435e-01  4.6640e-04  4.4230e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  2.7022e-01  3.7535e-01  4.5330e-07  2.9690e+00
