
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     |  5.3662e+01  1.9413e+01  2.8170e-01  1.4110e+02
   Non-bonded    |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonded        |  5.3662e+01  1.9413e+01  2.8170e-01  1.4110e+02
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Elst          |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonds         |  2.0999e+01  1.1389e+01  9.4740e-02  8.0550e+01
   Angles        |  3.1378e+01  1.5482e+01  1.8700e-01  1.1000e+02
   Torsions      |  1.2858e+00  6.5800e-01  2.3370e-09  2.7390e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
