
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     | -2.5919e+01  2.9075e+00 -3.5596e+01 -1.9655e+01
   Non-bonded    | -3.1760e+01  2.8680e+00 -4.3570e+01 -2.5520e+01
   Bonded        |  5.8415e+00  2.1697e+00  1.5730e+00  1.3750e+01
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  6.3505e+00  2.8491e+00  1.3360e+00  1.7360e+01
   Elst          | -3.8111e+01  5.1654e+00 -5.5250e+01 -2.9920e+01
   Bonds         |  4.0010e+00  1.8650e+00  5.4860e-01  1.2070e+01
   Angles        |  1.8406e+00  1.1438e+00  7.9230e-02  6.4090e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
