
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     |  7.9946e-03  1.9628e-01 -9.9984e-01  2.4467e+00
   Non-bonded    | -1.2716e-02  8.7159e-02 -9.9980e-01  4.7840e-01
   Bonded        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Boundary      |  2.0711e-02  1.7450e-01  0.0000e+00  2.4480e+00
   Vdw           | -1.2716e-02  8.7159e-02 -9.9980e-01  4.7840e-01
   Elst          |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonds         |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Angles        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
