
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     |  1.0267e-02  1.4674e-01  7.1633e-11  4.6425e+00
   Non-bonded    |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonded        |  1.0266e-02  1.4672e-01  7.1630e-11  4.6420e+00
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Elst          |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonds         |  1.0266e-02  1.4672e-01  7.1630e-11  4.6420e+00
   Angles        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
