
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Potential     | -1.7664e+02  9.2329e+00 -1.7785e+02 -8.3025e+01
   Non-bonded    | -1.7659e+02  9.2268e+00 -1.7780e+02 -8.3020e+01
   Bonded        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  1.5055e+01  2.1035e+00 -3.0610e-02  1.6780e+01
   Elst          | -1.9170e+02  1.1219e+01 -1.9460e+02 -8.3020e+01
   Bonds         |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Angles        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
