
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Total         |  3.4237e+01  7.5458e-04  3.4235e+01  3.4239e+01
   Kinetic       |  1.7555e+01  2.6867e+00  1.0740e+01  2.5360e+01
   Potential     |  1.6683e+01  2.6871e+00  8.8770e+00  2.3500e+01
   Non-bonded    |  1.3600e+00  6.9956e-02  1.2580e+00  1.5280e+00
   Bonded        |  1.5322e+01  2.6863e+00  7.5540e+00  2.2200e+01
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           | -5.8409e-01  6.1240e-02 -6.8080e-01 -4.6360e-01
   Elst          |  1.9441e+00  3.4668e-02  1.8590e+00  2.0280e+00
   Bonds         |  8.4577e+00  2.2265e+00  3.2210e+00  1.4260e+01
   Angles        |  4.6220e+00  1.3508e+00  1.6330e+00  8.6560e+00
   Torsions      |  2.2428e+00  7.3695e-01  4.6580e-09  4.4170e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
