
 ------------------ Energy Values [kcal/mol] ------------------
   component           avg        std        min        max
 --------------------------------------------------------------
   Total         |  3.912e+00  3.464e-04  3.912e+00  3.913e+00
   Kinetic       |  2.829e+00  4.414e-01  1.839e+00  3.760e+00
   Potential     |  1.083e+00  4.417e-01  1.514e-01  2.074e+00
   Non-bonded    |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Bonded        |  1.083e+00  4.417e-01  1.514e-01  2.074e+00
   Boundary      |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   van der Waals |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Electrostatic |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Bonds         |  7.798e-01  4.058e-01  4.288e-03  1.637e+00
   Angles        |  7.945e-02  7.306e-02  3.101e-05  3.479e-01
   Torsions      |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Out-of-planes |  2.235e-01  1.640e-01  1.052e-06  5.332e-01
