
 ------------------ Energy Values [kcal/mol] ------------------
   component           avg        std        min        max
 --------------------------------------------------------------
   Total         |  2.403e+00  1.998e-04  2.403e+00  2.403e+00
   Kinetic       |  1.693e+00  5.069e-01  9.302e-01  2.403e+00
   Potential     |  7.099e-01  5.071e-01  1.718e-06  1.473e+00
   Non-bonded    |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Bonded        |  7.099e-01  5.071e-01  1.718e-06  1.473e+00
   Boundary      |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   van der Waals |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Electrostatic |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Bonds         |  7.099e-01  5.071e-01  1.718e-06  1.473e+00
   Angles        |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Torsions      |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Out-of-planes |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
