
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Total         |  7.3952e+00  2.3634e-04  7.3944e+00  7.3959e+00
   Kinetic       |  4.4800e+00  7.4311e-01  2.3720e+00  7.1100e+00
   Potential     |  2.9152e+00  7.4330e-01  2.8460e-01  5.0230e+00
   Non-bonded    |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonded        |  2.9152e+00  7.4330e-01  2.8460e-01  5.0230e+00
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Elst          |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonds         |  1.0066e+00  3.2497e-01  9.5630e-02  1.8550e+00
   Angles        |  1.8695e+00  6.7851e-01  1.8860e-01  4.0930e+00
   Torsions      |  3.9067e-02  1.9550e-02  4.1730e-04  1.1070e-01
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
