
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Total         |  3.5944e+00  3.1056e-04  3.5937e+00  3.5951e+00
   Kinetic       |  2.7036e+00  4.5665e-01  1.6200e+00  3.5560e+00
   Potential     |  8.9079e-01  4.5692e-01  3.7490e-02  1.9750e+00
   Non-bonded    |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonded        |  8.9063e-01  4.5699e-01  3.7490e-02  1.9750e+00
   Boundary      |  1.6210e-04  3.6246e-03  0.0000e+00  8.1210e-02
   Vdw           |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Elst          |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Bonds         |  3.2638e-01  2.0655e-01  4.2000e-04  9.5200e-01
   Angles        |  5.6426e-01  4.2071e-01  5.4750e-08  1.5960e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
