
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Total         | -2.2264e+01  7.1852e-04 -2.2266e+01 -2.2263e+01
   Kinetic       |  8.2935e+00  1.2372e+00  4.7340e+00  1.3330e+01
   Potential     | -3.0558e+01  1.2377e+00 -3.5600e+01 -2.7000e+01
   Non-bonded    | -3.5175e+01  2.0478e+00 -4.3570e+01 -2.9940e+01
   Bonded        |  4.6175e+00  1.9461e+00  5.9880e-01  1.0660e+01
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  9.0104e+00  2.9940e+00  4.2960e+00  1.6390e+01
   Elst          | -4.4186e+01  4.0556e+00 -5.5250e+01 -3.5610e+01
   Bonds         |  2.7724e+00  1.4822e+00  2.1880e-01  7.0110e+00
   Angles        |  1.8451e+00  1.2776e+00  8.1370e-02  5.4100e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
