
 ------------------ Energy Values [kcal/mol] ------------------
   component           avg        std        min        max
 --------------------------------------------------------------
   Total         |  4.639e+00  2.417e-03  4.636e+00  4.643e+00
   Kinetic       |  2.316e+00  1.638e+00  5.962e-13  4.636e+00
   Potential     |  2.323e+00  1.641e+00  5.271e-07  4.642e+00
   Non-bonded    |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Bonded        |  2.323e+00  1.641e+00  5.271e-07  4.642e+00
   Boundary      |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   van der Waals |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Electrostatic |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Bonds         |  2.323e+00  1.641e+00  5.271e-07  4.642e+00
   Angles        |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Torsions      |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
   Out-of-planes |  0.000e+00  0.000e+00  0.000e+00  0.000e+00
