
 ------------- Energy Component Properties [kcal/mol] -------------
   component           avg         std         min         max
 ------------------------------------------------------------------
   Total         | -8.3131e+01  6.8650e-01 -8.6837e+01 -7.8306e+01
   Kinetic       |  2.4140e+01  2.7242e+01  5.9620e-13  9.4200e+01
   Potential     | -1.0727e+02  2.7497e+01 -1.7780e+02 -7.9570e+01
   Non-bonded    | -1.0727e+02  2.7497e+01 -1.7780e+02 -7.9570e+01
   Bonded        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Boundary      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Vdw           |  5.0755e+00  2.1636e+01 -3.3410e-02  1.5320e+02
   Elst          | -1.1235e+02  3.7234e+01 -2.3280e+02 -8.2730e+01
   Bonds         |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Angles        |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Torsions      |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   Outofplanes   |  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
